source,source_place_id,name,operating_hours_raw,closed_days_raw,fees_raw,parking_raw,pet_raw,public_transport_raw,source_url
tourapi,1778079,강진아트홀,,,공연에 따라 다름,,,,https://www.data.go.kr/data/15101578/openapi.do
tourapi,2612901,고산 윤선도 박물관,,,무료,,,,https://www.data.go.kr/data/15101578/openapi.do
tourapi,129996,고흥문화원,,,,,,,https://www.data.go.kr/data/15101578/openapi.do
tourapi,2605786,고흥분청문화박물관,,,"[개인]<br>- 일반 2,000원<br>- 청소년, 군인 1,500원<br>- 어린이 1,000원<br>[단체]<br>- 일반 1,000원<br>- 청소년, 군인 700원<br>- 어린이 500원",,,,https://www.data.go.kr/data/15101578/openapi.do
tourapi,3351638,곡성기차마을 생태학습관,,,"대인 5,000원, 소인/경로 4,500원, 곡성군민/장애인 무료",,,,https://www.data.go.kr/data/15101578/openapi.do
tourapi,1054221,곡성레저문화센터,,,무료,,,,https://www.data.go.kr/data/15101578/openapi.do
tourapi,129991,곡성문화원,,,,,,,https://www.data.go.kr/data/15101578/openapi.do
tourapi,2733394,광양 역사문화관,,,무료,,,,https://www.data.go.kr/data/15101578/openapi.do
tourapi,2782651,광양매화문화관,,,무료,,,,https://www.data.go.kr/data/15101578/openapi.do
tourapi,129987,광양문화원,,,,,,,https://www.data.go.kr/data/15101578/openapi.do
tourapi,130205,광양시문화예술회관,,,※ 공연 별로 상이함,,,,https://www.data.go.kr/data/15101578/openapi.do
tourapi,2732668,광양예술창고,,,무료,,,,https://www.data.go.kr/data/15101578/openapi.do
tourapi,130559,구례향제줄풍류전수관,,,무료,,,,https://www.data.go.kr/data/15101578/openapi.do
tourapi,129896,국립해양유산연구소,,,무료,,,,https://www.data.go.kr/data/15101578/openapi.do
tourapi,3012429,남도영화제 시즌2 광양,,,,,,,https://www.data.go.kr/data/15101578/openapi.do
tourapi,3506515,담양 다미담주 페스티벌 쓰담쓰담 야시장,,,,,,,https://www.data.go.kr/data/15101578/openapi.do
tourapi,3547386,한국전력과 함께하는 2025 희망·사랑 나눔 콘서트,,,,,,,https://www.data.go.kr/data/15101578/openapi.do
tourapi,2737313,2025섬진강국제실험예술제(SIEAF),,,,,,,https://www.data.go.kr/data/15101578/openapi.do
tourapi,2737354,가마골계곡 핫캠핑장,,,,,,,https://www.data.go.kr/data/15101578/openapi.do
tourapi,2740970,가우도카라반펜션,,,,,,,https://www.data.go.kr/data/15101578/openapi.do
tourapi,2752162,거금해양낚시공원,,,,,,,https://www.data.go.kr/data/15101578/openapi.do
tourapi,2554912,곡성기차마을 패러글라이딩,,,,,,,https://www.data.go.kr/data/15101578/openapi.do
tourapi,2739374,국립천관산자연휴양림캠핑장,,,,,,,https://www.data.go.kr/data/15101578/openapi.do
tourapi,2727342,굴전여가캠핑장,,,,,,,https://www.data.go.kr/data/15101578/openapi.do
tourapi,2737326,글램킹 글램핑,,,,,,,https://www.data.go.kr/data/15101578/openapi.do
tourapi,2483594,금오도 비렁길,,,,,,,https://www.data.go.kr/data/15101578/openapi.do
tourapi,2743206,금오도보금자리펜션,,,,,,,https://www.data.go.kr/data/15101578/openapi.do
tourapi,2909143,낭도야영장,,,,,,,https://www.data.go.kr/data/15101578/openapi.do
tourapi,2481694,느랭이골 글램핑,,,,,,,https://www.data.go.kr/data/15101578/openapi.do
tourapi,2734187,달빛담은캠핑장,,,,,,,https://www.data.go.kr/data/15101578/openapi.do
tourapi,2013935,담양 용마루길,,,,,,,https://www.data.go.kr/data/15101578/openapi.do
tourapi,2729195,담양금성오토캠핑장,,,,,,,https://www.data.go.kr/data/15101578/openapi.do
tourapi,715953,담양레이나 CC,,,,,,,https://www.data.go.kr/data/15101578/openapi.do
